elapsed	rss_kb	fds	cpu_s	log_bytes
14712	526320	8	2204.65	23662592
14772	526352	8	2214.62	23662592
14832	526368	8	2224.98	23662592
14892	526368	8	2235.43	23662592
14952	526368	8	2245.64	23662592
15012	526608	8	2255.76	23662592
15072	526608	8	2265.78	23662592
15133	526656	8	2275.85	24711168
15193	526656	8	2285.99	24711168
15253	526672	8	2295.90	24711168
15313	526672	8	2305.96	24711168
15373	526704	8	2315.94	24711168
15433	526768	8	2326.13	24711168
15493	526944	8	2336.29	24711168
15553	526992	8	2346.43	24711168
15613	527040	8	2356.60	24711168
15673	527072	8	2366.52	24711168
15733	527312	8	2376.49	24711168
15793	527616	8	2386.47	25759744
15853	527888	8	2396.38	25759744
15913	528128	8	2406.49	25759744
15973	528544	8	2416.95	25759744
16033	528688	8	2427.43	25759744
16093	528736	8	2437.36	25759744
16153	528912	8	2447.61	25759744
16213	529168	8	2457.86	25759744
16273	529360	8	2468.14	25759744
16333	529408	8	2478.34	25759744
16394	529408	8	2488.46	25759744
16454	529408	8	2498.48	26808320
16514	529408	8	2508.52	26808320
16574	529408	8	2518.46	26808320
16634	529408	8	2528.48	26808320
16694	529120	8	2538.48	26808320
16754	529136	8	2548.51	26808320
16814	529136	8	2558.58	26808320
16874	529136	8	2568.70	26808320
16934	529008	8	2578.82	26808320
16994	529008	8	2588.80	26808320
17054	529008	8	2598.95	26808320
17114	529040	8	2608.90	27856896
17174	529040	8	2619.02	27856896
17234	529040	8	2629.04	27856896
17294	529040	8	2639.10	27856896
17354	529040	8	2649.14	27856896
17414	529040	8	2659.15	27856896
17474	529040	8	2669.09	27856896
17534	528752	8	2679.14	27856896
17595	528752	8	2689.22	27856896
17655	528752	8	2699.46	27856896
17715	528752	8	2709.63	27856896
17775	528752	8	2720.04	28905472
17835	528896	8	2730.12	28905472
17895	529104	8	2739.92	28905472
17955	529104	8	2749.91	28905472
18015	529136	8	2760.01	28905472
18075	529360	8	2769.95	28905472
18135	529408	8	2779.93	28905472
18195	529200	8	2789.93	28905472
18255	529280	8	2799.76	28905472
18315	529328	8	2809.89	28905472
18375	529328	8	2819.94	28905472
18435	529328	8	2830.33	29954048
18495	529328	8	2840.38	29954048
18555	529328	8	2850.36	29954048
18615	529344	8	2860.46	29954048
18675	529344	8	2870.54	29954048
18735	529360	8	2880.57	29954048
18796	529360	8	2890.47	29954048
18856	529408	8	2900.49	29954048
